episode,day,actions,allocation_weights,portfolio_return,reward,new_portfolio_value
1,824,"0.00, 0.00","0.50, 0.50",-0.28%,415849.45,"415,849"
1,825,"0.00, 0.95","0.28, 0.72",-0.41%,414145.12,"414,145"
1,826,"0.96, 0.07","0.71, 0.29",-0.17%,413453.76,"413,454"
1,827,"0.00, 0.00","0.50, 0.50",-0.29%,412265.67,"412,266"
1,828,"0.22, 1.00","0.32, 0.68",-0.40%,410633.38,"410,633"
1,829,"0.00, 0.04","0.49, 0.51",-0.30%,409414.81,"409,415"
1,830,"0.00, 0.00","0.50, 0.50",-0.29%,408217.69,"408,218"
1,831,"0.39, 0.54","0.46, 0.54",-0.32%,406930.25,"406,930"
1,832,"0.00, 0.89","0.29, 0.71",-0.42%,405221.07,"405,221"
1,833,"1.00, 0.17","0.70, 0.30",-0.18%,404486.42,"404,486"
1,834,"0.00, 0.00","0.50, 0.50",-0.30%,403275.38,"403,275"
1,835,"1.00, 0.00","0.73, 0.27",-0.16%,402622.02,"402,622"
1,836,"0.00, 0.44","0.39, 0.61",-0.37%,401138.62,"401,139"
1,837,"0.00, 0.11","0.47, 0.53",-0.32%,399847.36,"399,847"
1,838,"0.00, 0.00","0.50, 0.50",-0.31%,398620.84,"398,621"
1,839,"0.00, 1.00","0.27, 0.73",-0.45%,396821.98,"396,822"
1,840,"0.00, 0.92","0.28, 0.72",-0.44%,395059.08,"395,059"
1,841,"0.00, 0.29","0.43, 0.57",-0.36%,393647.37,"393,647"
1,842,"0.73, 0.00","0.67, 0.33",-0.21%,392840.19,"392,840"
1,843,"0.00, 0.17","0.46, 0.54",-0.34%,391492.74,"391,493"
1,844,"1.00, 1.00","0.50, 0.50",-0.32%,390245.94,"390,246"
1,845,"0.00, 0.00","0.50, 0.50",-0.32%,388995.16,"388,995"
1,846,"0.00, 0.88","0.29, 0.71",-0.46%,387222.18,"387,222"
1,847,"1.00, 0.20","0.69, 0.31",-0.20%,386441.41,"386,441"
1,848,"0.46, 0.82","0.41, 0.59",-0.39%,384951.26,"384,951"
1,849,"0.00, 1.00","0.27, 0.73",-0.48%,383099.80,"383,100"
1,850,"0.00, 0.00","0.50, 0.50",-0.33%,381831.26,"381,831"
1,851,"0.00, 0.44","0.39, 0.61",-0.40%,380285.22,"380,285"
1,852,"0.00, 1.00","0.27, 0.73",-0.49%,378419.38,"378,419"
1,853,"0.14, 0.00","0.53, 0.47",-0.31%,377227.49,"377,227"
1,854,"0.00, 0.00","0.50, 0.50",-0.34%,375944.41,"375,944"
1,855,"0.17, 0.00","0.54, 0.46",-0.31%,374764.01,"374,764"
1,856,"0.23, 0.00","0.56, 0.44",-0.31%,373617.18,"373,617"
1,857,"0.00, 1.00","0.27, 0.73",-0.51%,371720.41,"371,720"
1,858,"0.00, 0.21","0.45, 0.55",-0.39%,370286.23,"370,286"
1,859,"0.00, 1.00","0.27, 0.73",-0.51%,368379.88,"368,380"
1,860,"0.21, 0.28","0.48, 0.52",-0.37%,367028.17,"367,028"
1,861,"0.00, 1.00","0.27, 0.73",-0.52%,365111.60,"365,112"
1,862,"0.00, 0.00","0.50, 0.50",-0.36%,363798.25,"363,798"
1,863,"0.00, 0.80","0.31, 0.69",-0.50%,361978.02,"361,978"
1,864,"0.00, 0.00","0.50, 0.50",-0.36%,360656.94,"360,657"
1,865,"0.30, 1.00","0.33, 0.67",-0.49%,358886.48,"358,886"
1,866,"0.00, 0.00","0.50, 0.50",-0.37%,357557.27,"357,557"
1,867,"1.00, 1.00","0.50, 0.50",-0.37%,356223.10,"356,223"
1,868,"1.00, 1.00","0.50, 0.50",-0.38%,354883.92,"354,884"
1,869,"1.00, 0.00","0.73, 0.27",-0.20%,354160.87,"354,161"
1,870,"0.00, 0.41","0.40, 0.60",-0.46%,352534.84,"352,535"
1,871,"0.27, 0.00","0.57, 0.43",-0.33%,351360.94,"351,361"
1,872,"0.00, 0.85","0.30, 0.70",-0.54%,349450.46,"349,450"
1,873,"0.00, 0.00","0.50, 0.50",-0.39%,348085.42,"348,085"
1,874,"0.94, 1.00","0.48, 0.52",-0.41%,346672.77,"346,673"
1,875,"0.50, 0.00","0.62, 0.38",-0.30%,345633.52,"345,634"
1,876,"0.00, 1.00","0.27, 0.73",-0.58%,343612.09,"343,612"
1,877,"0.00, 0.85","0.30, 0.70",-0.57%,341669.34,"341,669"
1,878,"1.00, 1.00","0.50, 0.50",-0.41%,340280.44,"340,280"
1,879,"0.01, 0.00","0.50, 0.50",-0.41%,338893.98,"338,894"
1,880,"0.83, 0.00","0.70, 0.30",-0.25%,338044.94,"338,045"
1,881,"0.50, 0.00","0.62, 0.38",-0.31%,336982.83,"336,983"
1,882,"0.16, 0.25","0.48, 0.52",-0.44%,335503.03,"335,503"
1,883,"1.00, 0.58","0.60, 0.40",-0.34%,334373.83,"334,374"
1,884,"1.00, 1.00","0.50, 0.50",-0.43%,332944.88,"332,945"
1,885,"1.00, 0.44","0.64, 0.36",-0.31%,331898.29,"331,898"
1,886,"0.00, 0.55","0.37, 0.63",-0.55%,330069.40,"330,069"
1,887,"0.00, 1.00","0.27, 0.73",-0.64%,327952.73,"327,953"
1,888,"0.00, 0.71","0.33, 0.67",-0.59%,326007.73,"326,008"
1,889,"0.00, 0.00","0.50, 0.50",-0.45%,324552.34,"324,552"
1,890,"0.69, 0.35","0.58, 0.42",-0.37%,323337.09,"323,337"
1,891,"0.00, 0.13","0.47, 0.53",-0.48%,321774.56,"321,775"
